5 , 27887  lxpanel , restart_syscall(<... resuming interrupted poll ...>) = 0
1213 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, {msg_name(0)=NULL, msg_iov(1)=[{"\6\0m\370\321\330+\6%\2\0\0\36\0 \1\0\0\0\0#\0\350\2#\0\2\0\0\0\1\0", 4096}], msg_controllen=0, msg_flags=0}, 0) = 32
1214 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab2f0, 0) = -1 EAGAIN (Resource temporarily unavailable)
1215 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
1216 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN|POLLOUT}], 1, -1) = 1 ([{fd=3, revents=POLLOUT}])
1217 , 27887  lxpanel , writev(3<UNIX:[92285->90870]>, [{"\2\0\4\0\36\0 \1\0@\0\0\0\0\0\0", 16}, {NULL, 0}, {"", 0}], 3) = 16
1218 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab2d0, 0) = -1 EAGAIN (Resource temporarily unavailable)
1219 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
1220 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN|POLLOUT}], 1, -1) = 1 ([{fd=3, revents=POLLOUT}])
1221 , 27887  lxpanel , writev(3<UNIX:[92285->90870]>, [{"(\0\4\0\36\0 \1%\2\0\0\0\0\0\0", 16}, {NULL, 0}, {"", 0}], 3) = 16
1222 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}], 1, -1) = 1 ([{fd=3, revents=POLLIN}])
1223 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, {msg_name(0)=NULL, msg_iov(1)=[{"\1\1o\370\0\0\0\0\1\1\0\1\0\0\346\2\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0", 4096}], msg_controllen=0, msg_flags=0}, 0) = 32
1224 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfaa8f0, 0) = -1 EAGAIN (Resource temporarily unavailable)
1225 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfaa8f0, 0) = -1 EAGAIN (Resource temporarily unavailable)
1226 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN|POLLOUT}], 1, -1) = 1 ([{fd=3, revents=POLLOUT}])
1227 , 27887  lxpanel , writev(3<UNIX:[92285->90870]>, [{"5\30\4\0U\337 \1\36\0 \0019\0\32\0007\0\7\0V\337 \1U\337 \1\0\5\1\0\1\0\0\0P\0 \1\0\0\0\0;\3\5\0V\337"..., 464}, {NULL, 0}, {"", 0}], 3) = 464
1228 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab2c0, 0) = -1 EAGAIN (Resource temporarily unavailable)
1229 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab2d0, 0) = -1 EAGAIN (Resource temporarily unavailable)
1230 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 485) = 1 ([{fd=3, revents=POLLIN}])
1231 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, {msg_name(0)=NULL, msg_iov(1)=[{"\10\3\206\370A\331+\6%\2\0\0\36\0 \1\0\0\0\0005\0\340\0025\0\372\377\0\0\0\2\7\3\206\370A\331+\6%\2\0\0\370\0 \1\0\0"..., 4096}], msg_controllen=0, msg_flags=0}, 0) = 96
1232 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab2f0, 0) = -1 EAGAIN (Resource temporarily unavailable)
1233 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
1234 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
1235 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
1236 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
1237 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
1238 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
1239 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
1240 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN|POLLOUT}], 1, -1) = 1 ([{fd=3, revents=POLLOUT}])
1241 , 27887  lxpanel , writev(3<UNIX:[92285->90870]>, [{"\2\30\4\0\370\0 \1\0@\0\0\0\0\0\0", 16}, {NULL, 0}, {"", 0}], 3) = 16
1242 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab2d0, 0) = -1 EAGAIN (Resource temporarily unavailable)
1243 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
1244 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN|POLLOUT}], 1, -1) = 1 ([{fd=3, revents=POLLOUT}])
1245 , 27887  lxpanel , writev(3<UNIX:[92285->90870]>, [{"(\30\4\0\36\0 \1%\2\0\0\0\0\0\0", 16}, {NULL, 0}, {"", 0}], 3) = 16
1246 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}], 1, -1) = 1 ([{fd=3, revents=POLLIN}])
1247 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, {msg_name(0)=NULL, msg_iov(1)=[{"\1\1\210\370\0\0\0\0\1\1\0\1\0\0\346\2\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0", 4096}], msg_controllen=0, msg_flags=0}, 0) = 32
1248 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfaa8f0, 0) = -1 EAGAIN (Resource temporarily unavailable)
1249 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN|POLLOUT}], 1, -1) = 1 ([{fd=3, revents=POLLOUT}])
1250 , 27887  lxpanel , writev(3<UNIX:[92285->90870]>, [{"5\30\4\0Y\337 \1\36\0 \1\30\0\30\0007\0\7\0Z\337 \1Y\337 \1\0\5\1\0\1\0\0\0P\0 \1\0\0\0\0;\3\5\0Z\337"..., 912}, {NULL, 0}, {"", 0}], 3) = 912
1251 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab2c0, 0) = -1 EAGAIN (Resource temporarily unavailable)
1252 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab2d0, 0) = -1 EAGAIN (Resource temporarily unavailable)
1253 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
1254 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab2d0, 0) = -1 EAGAIN (Resource temporarily unavailable)
1255 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
1256 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab2d0, 0) = -1 EAGAIN (Resource temporarily unavailable)
1257 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 481) = 1 ([{fd=3, revents=POLLIN}])
1258 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, {msg_name(0)=NULL, msg_iov(1)=[{"\6\0\257\370\n\332+\6%\2\0\0\370\0 \1\0\0\0\0@\0\335\2>\0002\1\0\0\1\0", 4096}], msg_controllen=0, msg_flags=0}, 0) = 32
1259 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab2f0, 0) = -1 EAGAIN (Resource temporarily unavailable)
1260 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab2d0, 0) = -1 EAGAIN (Resource temporarily unavailable)
1261 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 499) = 1 ([{fd=3, revents=POLLIN}])
1262 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, {msg_name(0)=NULL, msg_iov(1)=[{"\4\1\257\370b\332+\6%\2\0\0\370\0 \1\0\0\0\0@\0\335\2>\0002\1\0\0\1\0", 4096}], msg_controllen=0, msg_flags=0}, 0) = 32
1263 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab2f0, 0) = -1 EAGAIN (Resource temporarily unavailable)
1264 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN|POLLOUT}], 1, -1) = 1 ([{fd=3, revents=POLLOUT}])
1265 , 27887  lxpanel , writev(3<UNIX:[92285->90870]>, [{"\22\0\7\0\370\0 \1>\1\0\0\6\0\0\0 \0\7\0\1\0\0\0b\332+\6", 28}, {NULL, 0}, {"", 0}], 3) = 28
1266 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, {msg_name(0)=NULL, msg_iov(1)=[{"\34\0\260\370\370\0 \1>\1\0\0h\332+\6\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0", 4096}], msg_controllen=0, msg_flags=0}, 0) = 32
1267 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab2d0, 0) = -1 EAGAIN (Resource temporarily unavailable)
1268 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
1269 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab1f0, 0) = -1 EAGAIN (Resource temporarily unavailable)
1270 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab2d0, 0) = -1 EAGAIN (Resource temporarily unavailable)
1271 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 507) = 1 ([{fd=3, revents=POLLIN}])
1272 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, {msg_name(0)=NULL, msg_iov(1)=[{"\5\1\260\370\361\332+\6%\2\0\0\370\0 \1\0\0\0\0@\0\335\2>\0002\1\0\1\1\0", 4096}], msg_controllen=0, msg_flags=0}, 0) = 32
1273 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfab2f0, 0) = -1 EAGAIN (Resource temporarily unavailable)
1274 , 27887  lxpanel , write(4<anon_inode:[eventfd]>, "\1\0\0\0\0\0\0\0", 8) = 8
1275 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN|POLLOUT}], 1, -1) = 1 ([{fd=3, revents=POLLOUT}])
1276 , 27887  lxpanel , writev(3<UNIX:[92285->90870]>, [{"\2\0\4\0\36\0 \1\1\0\0\0\0\0\0\0\2\0\4\0o\0 \1\1\0\0\0\0\0\0\0\2\0\4\0U\0 \1\1\0\0\0\0\0\0\0\n\337"..., 156}, {NULL, 0}, {"", 0}], 3) = 156
1277 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, {msg_name(0)=NULL, msg_iov(1)=[{"\22\0\264\370\370\0 \1\370\0 \1\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\22\0\264\370%\2\0\0\370\0 \1\0\0\0\0\0\0"..., 4096}], msg_controllen=0, msg_flags=0}, 0) = 160
1278 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfa9f60, 0) = -1 EAGAIN (Resource temporarily unavailable)
1279 , 27887  lxpanel , write(4<anon_inode:[eventfd]>, "\1\0\0\0\0\0\0\0", 8) = 8
1280 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN|POLLOUT}], 1, -1) = 1 ([{fd=3, revents=POLLOUT}])
1281 , 27887  lxpanel , writev(3<UNIX:[92285->90870]>, [{"+\0\1\0 \0\2\0\0\0\0\0", 12}, {NULL, 0}, {"", 0}], 3) = 12
1282 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, {msg_name(0)=NULL, msg_iov(1)=[{"\1\2\272\370\0\0\0\0\4\0\340\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0", 4096}], msg_controllen=0, msg_flags=0}, 0) = 32
1283 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfa9f70, 0) = -1 EAGAIN (Resource temporarily unavailable)
1284 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN|POLLOUT}], 1, -1) = 1 ([{fd=3, revents=POLLOUT}])
1285 , 27887  lxpanel , writev(3<UNIX:[92285->90870]>, [{"\4\0\2\0N\337 \1+\0\1\0", 12}, {NULL, 0}, {"", 0}], 3) = 12
1286 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}], 1, -1) = 1 ([{fd=3, revents=POLLIN}])
1287 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, {msg_name(0)=NULL, msg_iov(1)=[{"\22\0\274\370N\337 \1N\337 \1\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\0\22\0\274\370%\2\0\0N\337 \1\0\0\0\0\0\0"..., 4096}], msg_controllen=0, msg_flags=0}, 0) = 544
1288 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfaacb0, 0) = -1 EAGAIN (Resource temporarily unavailable)
1289 , 27887  lxpanel , pipe2([12<pipe:[195071]>, 14<pipe:[195071]>], 0) = 0
1290 , 27887  lxpanel , pipe2([15<pipe:[195072]>, 16<pipe:[195072]>], 0) = 0
1291 , 27887  lxpanel , clone(child_stack=0, flags=CLONE_CHILD_CLEARTID|CLONE_CHILD_SETTID|SIGCHLD, child_tidptr=0x7f09a8039cd0) = 58357
1293 , 27887  lxpanel , close(14<pipe:[195071]>) = 0
1294 , 27887  lxpanel , close(16<pipe:[195072]>) = 0
1295 , 27887  lxpanel , wait4(58357, [{WIFEXITED(s) && WEXITSTATUS(s) == 0}], 0, NULL) = 58357
1309 , 27887  lxpanel , --- SIGCHLD {si_signo=SIGCHLD, si_code=CLD_EXITED, si_pid=58357, si_uid=1000, si_status=0, si_utime=0, si_stime=0} ---
1310 , 27887  lxpanel , read(12<pipe:[195071]>, "", 8) = 0
1339 , 27887  lxpanel , read(15<pipe:[195072]>, "\366\343\0\0", 4) = 4
1341 , 27887  lxpanel , read(15<pipe:[195072]>, "", 0) = 0
1343 , 27887  lxpanel , close(12<pipe:[195071]>) = 0
1345 , 27887  lxpanel , close(15<pipe:[195072]>) = 0
1347 , 27887  lxpanel , write(8<anon_inode:[eventfd]>, "\1\0\0\0\0\0\0\0", 8) = 8
1350 , 27887  lxpanel , futex(0x56340c29ceb0, FUTEX_WAKE_PRIVATE, 1) = 0
1356 , 27887  lxpanel , futex(0x56340c29ceb0, FUTEX_WAIT_PRIVATE, 2, NULL) = -1 EAGAIN (Resource temporarily unavailable)
1359 , 27887  lxpanel , futex(0x56340c29ceb0, FUTEX_WAKE_PRIVATE, 1) = 0
1361 , 27887  lxpanel , futex(0x56340c29c0d0, FUTEX_WAKE_PRIVATE, 1) = 1
1364 , 27887  lxpanel , futex(0x56340c29c5e0, FUTEX_WAKE_PRIVATE, 1) = 1
1370 , 27887  lxpanel , futex(0x56340c29c5d0, FUTEX_WAKE_PRIVATE, 1) = 1
1374 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 1 ([{fd=4, revents=POLLIN}])
1378 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 1 ([{fd=4, revents=POLLIN}])
1382 , 27887  lxpanel , read(4<anon_inode:[eventfd]>, "\2\0\0\0\0\0\0\0", 16) = 8
1385 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
1387 , 27887  lxpanel , read(4<anon_inode:[eventfd]>, 0x7fffbdfab480, 16) = -1 EAGAIN (Resource temporarily unavailable)
1391 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
1399 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 1 ([{fd=4, revents=POLLIN}])
1404 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 1 ([{fd=4, revents=POLLIN}])
1407 , 27887  lxpanel , read(4<anon_inode:[eventfd]>, "\1\0\0\0\0\0\0\0", 16) = 8
1409 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
1411 , 27887  lxpanel , read(4<anon_inode:[eventfd]>, 0x7fffbdfab480, 16) = -1 EAGAIN (Resource temporarily unavailable)
1413 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
1416 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
1419 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
1421 , 27887  lxpanel , write(4<anon_inode:[eventfd]>, "\1\0\0\0\0\0\0\0", 8) = 8
1423 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN|POLLOUT}], 1, -1) = 1 ([{fd=3, revents=POLLOUT}])
1426 , 27887  lxpanel , writev(3<UNIX:[92285->90870]>, [{"\2\0\4\0\370\0 \1\0@\0\0\0\0\0\0$\0\1\0&\0\2\0%\2\0\0", 28}, {NULL, 0}, {"", 0}], 3) = 28
1428 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}], 1, -1) = 1 ([{fd=3, revents=POLLIN}])
1431 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, {msg_name(0)=NULL, msg_iov(1)=[{"\1\1\300\370\0\0\0\0%\2\0\0.\1\0\1@\0\335\2@\0\335\2\0\0\0\0\0\0\0\0", 4096}], msg_controllen=0, msg_flags=0}, 0) = 32
1433 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfaaeb0, 0) = -1 EAGAIN (Resource temporarily unavailable)
1436 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfaaeb0, 0) = -1 EAGAIN (Resource temporarily unavailable)
1438 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN|POLLOUT}], 1, -1) = 1 ([{fd=3, revents=POLLOUT}])
1440 , 27887  lxpanel , writev(3<UNIX:[92285->90870]>, [{"&\0\2\0.\1\0\1", 8}, {NULL, 0}, {"", 0}], 3) = 8
1443 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}], 1, -1) = 1 ([{fd=3, revents=POLLIN}])
1445 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, {msg_name(0)=NULL, msg_iov(1)=[{"\1\1\301\370\0\0\0\0%\2\0\0\3\0\340\0@\0\335\2@\0\335\2\0\0\0\0\0\0\0\0", 4096}], msg_controllen=0, msg_flags=0}, 0) = 32
1448 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfaaeb0, 0) = -1 EAGAIN (Resource temporarily unavailable)
1450 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfaaeb0, 0) = -1 EAGAIN (Resource temporarily unavailable)
1453 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN|POLLOUT}], 1, -1) = 1 ([{fd=3, revents=POLLOUT}])
1455 , 27887  lxpanel , writev(3<UNIX:[92285->90870]>, [{"&\0\2\0\3\0\340\0", 8}, {NULL, 0}, {"", 0}], 3) = 8
1458 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}], 1, -1) = 1 ([{fd=3, revents=POLLIN}])
1460 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, {msg_name(0)=NULL, msg_iov(1)=[{"\1\1\302\370\0\0\0\0%\2\0\0\0\0\0\0@\0\335\2@\0\335\2\0\0\0\0\0\0\0\0", 4096}], msg_controllen=0, msg_flags=0}, 0) = 32
1463 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfaaeb0, 0) = -1 EAGAIN (Resource temporarily unavailable)
1465 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfaaeb0, 0) = -1 EAGAIN (Resource temporarily unavailable)
1467 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN|POLLOUT}], 1, -1) = 1 ([{fd=3, revents=POLLOUT}])
1469 , 27887  lxpanel , writev(3<UNIX:[92285->90870]>, [{"%\0\1\0", 4}, {NULL, 0}, {"", 0}], 3) = 4
1470 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfaaf60, 0) = -1 EAGAIN (Resource temporarily unavailable)
1471 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN|POLLOUT}], 1, -1) = 1 ([{fd=3, revents=POLLOUT}])
1472 , 27887  lxpanel , writev(3<UNIX:[92285->90870]>, [{"&\0\2\0\370\0 \1", 8}, {NULL, 0}, {"", 0}], 3) = 8
1473 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}], 1, -1) = 1 ([{fd=3, revents=POLLIN}])
1474 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, {msg_name(0)=NULL, msg_iov(1)=[{"\1\1\304\370\0\0\0\0%\2\0\0\0\0\0\0@\0\335\2>\0002\1\0\0\0\0\0\0\0\0", 4096}], msg_controllen=0, msg_flags=0}, 0) = 32
1475 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfaae90, 0) = -1 EAGAIN (Resource temporarily unavailable)
1476 , 27887  lxpanel , recvmsg(3<UNIX:[92285->90870]>, 0x7fffbdfaae90, 0) = -1 EAGAIN (Resource temporarily unavailable)
1477 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 1 ([{fd=4, revents=POLLIN}])
1478 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 1 ([{fd=4, revents=POLLIN}])
1479 , 27887  lxpanel , read(4<anon_inode:[eventfd]>, "\1\0\0\0\0\0\0\0", 16) = 8
1480 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
1481 , 27887  lxpanel , read(4<anon_inode:[eventfd]>, 0x7fffbdfab480, 16) = -1 EAGAIN (Resource temporarily unavailable)
1482 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
1483 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 0 (Timeout)
1484 , 27887  lxpanel , write(4<anon_inode:[eventfd]>, "\1\0\0\0\0\0\0\0", 8) = 8
1485 , 27887  lxpanel , poll([{fd=3<UNIX:[92285->90870]>, events=POLLIN}, {fd=4<anon_inode:[eventfd]>, events=POLLIN}, {fd=9<UNIX:[92317->92318]>, events=POLLIN}], 3, 0) = 1 ([{fd=4, revents=POLLIN}])
